Quarter,Time,Down,ToGo,Location,Detail,PIT,NWE,EPB,EPA
4,13:53,2,3,PIT 49,Ben Roethlisberger pass complete short right to Ryan Switzer for 5 yards (tackle by Jonathan Jones),3,30,2.13,2.52
4,13:19,1,10,NWE 46,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson (defended by Jonathan Jones),3,30,2.52,1.98
4,13:16,2,10,NWE 46,Ben Roethlisberger pass incomplete short middle intended for Donte Moncrief (defended by Jason McCourty),3,30,1.98,1.29
4,13:13,,,,Timeout #1 by New England Patriots,,,,
4,13:13,3,10,NWE 46,"Maurkice Pouncey aborted snap, recovered by Ben Roethlisberger at PIT-46 Ben Roethlisberger pass complete short middle to Donte Moncrief for 1 yard (tackle by J.C. Jackson)",3,30,1.29,0.27
4,12:32,4,9,NWE 45,Ben Roethlisberger pass incomplete short left intended for Donte Moncrief. Penalty on Alejandro Villanueva: Offensive Holding (Declined),3,30,0.27,-1.93
4,12:26,1,10,NWE 45,Sony Michel right guard for 3 yards (tackle by Devin Bush and Vince Williams),3,30,1.93,1.79
4,11:52,2,7,NWE 48,Julian Edelman left end for 8 yards (tackle by Kameron Kelly and Cameron Heyward),3,30,1.79,2.65
4,11:18,1,10,PIT 44,Sony Michel up the middle for no gain (tackle by Mike Hilton),3,30,2.65,2.11
4,10:39,2,10,PIT 44,Sony Michel left end for 4 yards (tackle by Devin Bush and Cameron Heyward),3,30,2.11,1.95
4,09:55,3,6,PIT 40,Tom Brady pass complete short right to Julian Edelman for 13 yards (tackle by Mike Hilton),3,30,1.95,3.78
4,09:17,1,10,PIT 27,"Rex Burkhead up the middle for 8 yards (tackle by Devin Bush and Vince Williams). Penalty on Isaiah Wynn: Offensive Holding, 10 yards (no play)",3,30,3.78,3.12
4,09:02,1,20,PIT 37,Tom Brady pass complete short right to Rex Burkhead for 3 yards (tackle by Artie Burns),3,30,3.12,2.29
4,08:27,2,17,PIT 34,"Tom Brady pass complete short middle to Julian Edelman for 16 yards (tackle by Kameron Kelly). Penalty on Bud Dupree: Defensive Pass Interference, 9 yards (no play)",3,30,2.29,3.91
4,08:10,1,10,PIT 25,Sony Michel right end for 4 yards (tackle by Cameron Heyward and Devin Bush),3,30,3.91,3.9
